Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 03/22  07:00:00,34574428.42352175,34574428.42352174,5378731.102822574 
 03/22  08:00:00,34262444.35111505,34262444.35111505,0.0 
 03/22  09:00:00,30529091.226081578,30529091.226081578,0.0 
 03/22  10:00:00,28650798.501898827,28650798.501898815,0.0 
 03/22  11:00:00,28381478.818670267,28381478.818670256,0.0 
 03/22  12:00:00,26642489.73204628,26642489.73204628,0.0 
 03/22  13:00:00,28370431.04899741,28370431.0489974,0.0 
 03/22  14:00:00,28392041.481727736,28392041.481727728,0.0 
 03/22  15:00:00,28519562.047972539,28519562.047972539,0.0 
 03/22  16:00:00,28982664.52805661,28982664.528056604,0.0 
 03/22  17:00:00,21012242.409075936,21012242.40907593,0.0 
 03/22  18:00:00,16455249.907283448,16455249.907283444,0.0 
 03/22  19:00:00,10953154.258345897,10953154.258345895,0.0 
 03/22  20:00:00,9737784.395628443,9737784.395628443,0.0 
 03/22  21:00:00,9737784.395628443,9737784.395628443,0.0 
 03/22  22:00:00,8643951.519120457,8643951.519120455,0.0 
 03/22  23:00:00,6297449.08321209,6297449.08321209,0.0 
 03/22  24:00:00,8569604.825749658,8569604.825749658,0.0 
 03/23  01:00:00,8569604.825749658,8569604.825749658,0.0 
 03/23  02:00:00,8569604.825749658,8569604.825749658,0.0 
 03/23  03:00:00,8569604.825749658,8569604.825749658,0.0 
 03/23  04:00:00,8569604.825749658,8569604.825749658,0.0 
 03/23  05:00:00,9469604.825749658,9469604.825749658,0.0 
 03/23  06:00:00,22040091.896962175,22040091.896962175,2306677.768800032 
 03/23  07:00:00,27885012.91432463,27885012.91432463,0.0 
 03/23  08:00:00,32383103.21095896,32383103.21095896,0.0 
 03/23  09:00:00,30706617.670531934,30706617.670531926,0.0 
 03/23  10:00:00,28575424.58954213,28575424.58954212,0.0 
 03/23  11:00:00,28540333.126444594,28540333.126444594,0.0 
 03/23  12:00:00,28632673.995271438,28632673.995271435,0.0 
 03/23  13:00:00,28430565.818490607,28430565.818490603,0.0 
 03/23  14:00:00,28539030.450565719,28539030.450565716,0.0 
 03/23  15:00:00,28539030.450565719,28539030.450565716,0.0 
 03/23  16:00:00,28563680.488472057,28563680.488472053,0.0 
 03/23  17:00:00,22341761.18584118,22341761.18584118,0.0 
 03/23  18:00:00,17614770.55091075,17614770.55091074,0.0 
 03/23  19:00:00,10953154.258345897,10953154.258345895,0.0 
 03/23  20:00:00,9737784.395628443,9737784.395628443,0.0 
 03/23  21:00:00,9737784.395628443,9737784.395628443,0.0 
 03/23  22:00:00,8643951.519120457,8643951.519120455,0.0 
 03/23  23:00:00,6297449.08321209,6297449.08321209,0.0 
 03/23  24:00:00,8569604.825749658,8569604.825749658,0.0 
 03/24  01:00:00,8569604.825749658,8569604.825749658,0.0 
 03/24  02:00:00,8569604.825749658,8569604.825749658,0.0 
 03/24  03:00:00,8569604.825749658,8569604.825749658,0.0 
