Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/02  03:00:00,5504338.596677196,5504338.596677196,0.0 
 07/02  04:00:00,5504338.596677196,5504338.596677196,0.0 
 07/02  05:00:00,4831618.596677196,4831618.596677196,0.0 
 07/02  06:00:00,4495258.596677196,4495258.596677196,0.0 
 07/02  07:00:00,4495258.596677196,4495258.596677196,0.0 
 07/02  08:00:00,4495258.596677196,4495258.596677196,0.0 
 07/02  09:00:00,4495258.596677196,4495258.596677197,0.0 
 07/02  10:00:00,4495258.596677196,4495258.596677196,0.0 
 07/02  11:00:00,4495258.596677196,4495258.596677196,0.0 
 07/02  12:00:00,4495258.596677196,4495258.596677196,0.0 
 07/02  13:00:00,4495258.596677196,4495258.596677197,0.0 
 07/02  14:00:00,4495258.596677196,4495258.596677196,0.0 
 07/02  15:00:00,4495258.596677196,4495258.596677197,0.0 
 07/02  16:00:00,4495258.596677196,4495258.596677197,0.0 
 07/02  17:00:00,4495258.596677196,4495258.596677196,0.0 
 07/02  18:00:00,4495258.596677196,4495258.596677196,0.0 
 07/02  19:00:00,4495258.596677196,4495258.596677197,0.0 
 07/02  20:00:00,5427778.596677196,5427778.596677196,0.0 
 07/02  21:00:00,5894038.596677196,5894038.596677195,0.0 
 07/02  22:00:00,5894038.596677196,5894038.596677195,0.0 
 07/02  23:00:00,5894038.596677196,5894038.596677196,0.0 
 07/02  24:00:00,5504338.596677196,5504338.596677196,0.0 
 07/03  01:00:00,8569604.825749658,8569604.825749658,0.0 
 07/03  02:00:00,8569604.825749658,8569604.825749658,0.0 
 07/03  03:00:00,8569604.825749658,8569604.825749658,0.0 
 07/03  04:00:00,8569604.825749658,8569604.825749658,0.0 
 07/03  05:00:00,7896884.825749659,7896884.825749656,0.0 
 07/03  06:00:00,18538988.718922683,18538988.71892268,0.0 
 07/03  07:00:00,18862454.882165404,18862454.882165404,0.0 
 07/03  08:00:00,33610276.22404669,33610276.22404669,0.0 
 07/03  09:00:00,34559239.58637404,34559239.58637404,0.0 
 07/03  10:00:00,35277523.145998079,35277523.14599807,0.0 
 07/03  11:00:00,36033995.85414939,36033995.85414939,0.0 
 07/03  12:00:00,33918074.43384712,33918074.433847118,0.0 
 07/03  13:00:00,37061903.366423849,37061903.36642383,0.0 
 07/03  14:00:00,37439342.811190899,37439342.81119089,0.0 
 07/03  15:00:00,37923294.47963397,37923294.47963397,0.0 
 07/03  16:00:00,38344458.7719587,38344458.7719587,0.0 
 07/03  17:00:00,26942915.820809574,26942915.82080957,0.0 
 07/03  18:00:00,13842019.447880969,13842019.447880967,0.0 
 07/03  19:00:00,9244869.246158274,9244869.246158274,0.0 
 07/03  20:00:00,9271524.395628443,9271524.395628443,0.0 
 07/03  21:00:00,9737784.395628443,9737784.395628443,0.0 
 07/03  22:00:00,8643951.519120457,8643951.519120455,0.0 
