Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/26  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/26  06:00:00,19942726.976393396,19942726.976393396,0.0 
 04/26  07:00:00,20872394.062932247,20872394.06293224,0.0 
 04/26  08:00:00,35461257.48716462,35461257.48716462,0.0 
 04/26  09:00:00,36915795.75997879,36915795.75997879,0.0 
 04/26  10:00:00,38188846.26584016,38188846.26584016,0.0 
 04/26  11:00:00,39202098.07698192,39202098.07698192,0.0 
 04/26  12:00:00,38907946.93517721,38907946.93517721,0.0 
 04/26  13:00:00,41740730.12670947,41740730.12670947,0.0 
 04/26  14:00:00,42597160.85507408,42597160.85507408,0.0 
 04/26  15:00:00,43490696.58871336,43490696.58871336,0.0 
 04/26  16:00:00,44384852.52163825,44384852.52163825,0.0 
 04/26  17:00:00,33943412.42051022,33943412.42051021,0.0 
 04/26  18:00:00,14740554.391484108,14740554.391484105,0.0 
 04/26  19:00:00,9519104.924558076,9519104.924558074,0.0 
 04/26  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/26  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/26  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/26  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/26  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/27  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/27  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/27  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/27  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/27  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/27  06:00:00,20426084.99049414,20426084.99049414,0.0 
 04/27  07:00:00,21086915.08513011,21086915.08513011,0.0 
 04/27  08:00:00,35316093.34635049,35316093.34635049,0.0 
 04/27  09:00:00,36624413.52366622,36624413.52366622,0.0 
 04/27  10:00:00,37991669.01894563,37991669.018945638,0.0 
 04/27  11:00:00,39175682.092366959,39175682.09236696,0.0 
 04/27  12:00:00,38491733.06999465,38491733.06999464,0.0 
 04/27  13:00:00,41324630.98481365,41324630.98481365,0.0 
 04/27  14:00:00,42197862.68262477,42197862.68262477,0.0 
 04/27  15:00:00,42964841.04350055,42964841.04350055,0.0 
 04/27  16:00:00,43434374.142236437,43434374.142236437,0.0 
 04/27  17:00:00,32986741.826519405,32986741.826519394,0.0 
 04/27  18:00:00,15027002.146157563,15027002.146157563,0.0 
 04/27  19:00:00,9554374.258345897,9554374.258345893,0.0 
 04/27  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/27  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/27  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/27  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/27  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/28  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/28  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/28  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/28  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/28  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/28  06:00:00,19026151.750112218,19026151.750112215,0.0 
 04/28  07:00:00,20073263.904318,20073263.904317999,0.0 
 04/28  08:00:00,34970199.40446022,34970199.40446022,0.0 
 04/28  09:00:00,36179210.43909981,36179210.43909981,0.0 
 04/28  10:00:00,37356597.59914338,37356597.59914338,0.0 
 04/28  11:00:00,38278439.18622794,38278439.18622794,0.0 
 04/28  12:00:00,36893036.83916861,36893036.83916861,0.0 
 04/28  13:00:00,40066468.09404863,40066468.09404863,0.0 
 04/28  14:00:00,41021502.13761521,41021502.13761521,0.0 
 04/28  15:00:00,41618670.74595076,41618670.74595076,0.0 
 04/28  16:00:00,42718666.84146361,42718666.84146361,0.0 
 04/28  17:00:00,32044588.711688617,32044588.711688617,0.0 
 04/28  18:00:00,14858570.643826813,14858570.643826813,0.0 
 04/28  19:00:00,9524119.652523444,9524119.65252344,0.0 
 04/28  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/28  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/28  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/28  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/28  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/29  01:00:00,5504338.596677196,5504338.596677196,0.0 
 04/29  02:00:00,5504338.596677196,5504338.596677196,0.0 
 04/29  03:00:00,5504338.596677196,5504338.596677196,0.0 
 04/29  04:00:00,5504338.596677196,5504338.596677196,0.0 
 04/29  05:00:00,5504338.596677196,5504338.596677196,0.0 
 04/29  06:00:00,5962378.596677196,5962378.596677196,0.0 
 04/29  07:00:00,4495258.596677196,4495258.596677196,0.0 
 04/29  08:00:00,4495258.596677196,4495258.596677196,0.0 
 04/29  09:00:00,4495258.596677196,4495258.596677197,0.0 
 04/29  10:00:00,4495258.596677196,4495258.596677197,0.0 
 04/29  11:00:00,4495258.596677196,4495258.596677196,0.0 
 04/29  12:00:00,4495258.596677196,4495258.596677197,0.0 
 04/29  13:00:00,4495258.596677196,4495258.596677196,0.0 
 04/29  14:00:00,4495258.596677196,4495258.596677196,0.0 
 04/29  15:00:00,4495258.596677196,4495258.596677196,0.0 
 04/29  16:00:00,4495258.596677196,4495258.596677197,0.0 
 04/29  17:00:00,4495258.596677196,4495258.596677196,0.0 
 04/29  18:00:00,4495258.596677196,4495258.596677196,0.0 
 04/29  19:00:00,4495258.596677196,4495258.596677196,0.0 
 04/29  20:00:00,5894038.596677196,5894038.596677196,0.0 
 04/29  21:00:00,5894038.596677196,5894038.596677195,0.0 
 04/29  22:00:00,5894038.596677196,5894038.596677196,0.0 
 04/29  23:00:00,5894038.596677196,5894038.596677196,0.0 
 04/29  24:00:00,5504338.596677196,5504338.596677196,0.0 
 04/30  01:00:00,5504338.596677196,5504338.596677196,0.0 
 04/30  02:00:00,5504338.596677196,5504338.596677196,0.0 
 04/30  03:00:00,5504338.596677196,5504338.596677196,0.0 
 04/30  04:00:00,5504338.596677196,5504338.596677196,0.0 
 04/30  05:00:00,5504338.596677196,5504338.596677196,0.0 
 04/30  06:00:00,5962378.596677196,5962378.596677196,0.0 
 04/30  07:00:00,4495258.596677196,4495258.596677196,0.0 
 04/30  08:00:00,4495258.596677196,4495258.596677196,0.0 
 04/30  09:00:00,4495258.596677196,4495258.596677197,0.0 
 04/30  10:00:00,4495258.596677196,4495258.596677197,0.0 
 04/30  11:00:00,4495258.596677196,4495258.596677196,0.0 
 04/30  12:00:00,4495258.596677196,4495258.596677197,0.0 
 04/30  13:00:00,4495258.596677196,4495258.596677196,0.0 
 04/30  14:00:00,4495258.596677196,4495258.596677196,0.0 
 04/30  15:00:00,4495258.596677196,4495258.596677196,0.0 
 04/30  16:00:00,4495258.596677196,4495258.596677197,0.0 
 04/30  17:00:00,4495258.596677196,4495258.596677197,0.0 
 04/30  18:00:00,4495258.596677196,4495258.596677196,0.0 
 04/30  19:00:00,4495258.596677196,4495258.596677196,0.0 
 04/30  20:00:00,5894038.596677196,5894038.596677195,0.0 
 04/30  21:00:00,5894038.596677196,5894038.596677196,0.0 
 04/30  22:00:00,5894038.596677196,5894038.596677196,0.0 
 04/30  23:00:00,5894038.596677196,5894038.596677196,0.0 
 04/30  24:00:00,5504338.596677196,5504338.596677196,0.0 
 05/01  01:00:00,8569604.825749658,8569604.825749658,0.0 
 05/01  02:00:00,8569604.825749658,8569604.825749658,0.0 
 05/01  03:00:00,8569604.825749658,8569604.825749658,0.0 
 05/01  04:00:00,8569604.825749658,8569604.825749658,0.0 
 05/01  05:00:00,8569604.825749658,8569604.825749658,0.0 
 05/01  06:00:00,19619865.89128857,19619865.89128857,0.0 
 05/01  07:00:00,20822958.861883958,20822958.861883958,0.0 
 05/01  08:00:00,36021503.157440509,36021503.1574405,0.0 
 05/01  09:00:00,37392592.23964638,37392592.23964638,0.0 
 05/01  10:00:00,38173531.784172657,38173531.784172657,0.0 
 05/01  11:00:00,38881052.78475573,38881052.78475573,0.0 
 05/01  12:00:00,37712475.273660067,37712475.273660067,0.0 
 05/01  13:00:00,40364615.98001958,40364615.98001958,0.0 
 05/01  14:00:00,40710300.13895366,40710300.13895366,0.0 
 05/01  15:00:00,41212019.24953395,41212019.24953396,0.0 
 05/01  16:00:00,41926732.90132248,41926732.901322487,0.0 
