Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 03/11  23:00:00,5894038.596677196,5894038.596677196,0.0 
 03/11  24:00:00,5894038.596677196,5894038.596677196,0.0 
 03/12  01:00:00,5504338.596677196,5504338.596677196,0.0 
 03/12  02:00:00,5504338.596677196,5504338.596677196,0.0 
 03/12  03:00:00,5504338.596677196,5504338.596677196,0.0 
 03/12  04:00:00,5504338.596677196,5504338.596677196,0.0 
 03/12  05:00:00,5504338.596677196,5504338.596677196,0.0 
 03/12  06:00:00,6695938.596677196,6695938.596677196,0.0 
 03/12  07:00:00,5962378.596677196,5962378.596677196,0.0 
 03/12  08:00:00,4495258.596677196,4495258.596677197,0.0 
 03/12  09:00:00,4495258.596677196,4495258.596677197,0.0 
 03/12  10:00:00,4495258.596677196,4495258.596677197,0.0 
 03/12  11:00:00,4495258.596677196,4495258.596677196,0.0 
 03/12  12:00:00,4495258.596677196,4495258.596677196,0.0 
 03/12  13:00:00,4495258.596677196,4495258.596677197,0.0 
 03/12  14:00:00,4495258.596677196,4495258.596677196,0.0 
 03/12  15:00:00,4495258.596677196,4495258.596677197,0.0 
 03/12  16:00:00,4495258.596677196,4495258.596677196,0.0 
 03/12  17:00:00,4495258.596677196,4495258.596677197,0.0 
 03/12  18:00:00,4495258.596677196,4495258.596677197,0.0 
 03/12  19:00:00,5427778.596677196,5427778.596677196,0.0 
 03/12  20:00:00,5894038.596677196,5894038.596677195,0.0 
 03/12  21:00:00,5894038.596677196,5894038.596677195,0.0 
 03/12  22:00:00,5894038.596677196,5894038.596677196,0.0 
 03/12  23:00:00,5894038.596677196,5894038.596677196,0.0 
 03/12  24:00:00,5504338.596677196,5504338.596677196,0.0 
 03/13  01:00:00,8569604.825749658,8569604.825749658,0.0 
 03/13  02:00:00,8569604.825749658,8569604.825749658,0.0 
 03/13  03:00:00,8569604.825749658,8569604.825749658,0.0 
 03/13  04:00:00,8569604.825749658,8569604.825749658,0.0 
 03/13  05:00:00,8569604.825749658,8569604.825749658,0.0 
 03/13  06:00:00,19219709.81503036,19219709.81503035,0.0 
 03/13  07:00:00,21195219.705414896,21195219.70541489,0.0 
 03/13  08:00:00,31431483.639471279,31431483.639471286,0.0 
 03/13  09:00:00,31151096.969850229,31151096.969850229,0.0 
 03/13  10:00:00,33266349.496266344,33266349.496266344,0.0 
 03/13  11:00:00,35119234.766516748,35119234.766516748,0.0 
 03/13  12:00:00,33833118.75822581,33833118.758225809,0.0 
 03/13  13:00:00,37678937.374898139,37678937.37489814,0.0 
 03/13  14:00:00,38657821.270239207,38657821.270239207,0.0 
 03/13  15:00:00,39447645.014129389,39447645.014129389,0.0 
 03/13  16:00:00,40128793.27540088,40128793.27540088,0.0 
 03/13  17:00:00,29006772.20680204,29006772.206802038,0.0 
 03/13  18:00:00,15664653.29881682,15664653.29881682,0.0 
 03/13  19:00:00,10476809.389738413,10476809.38973841,0.0 
 03/13  20:00:00,9737784.395628443,9737784.395628443,0.0 
 03/13  21:00:00,9737784.395628443,9737784.395628443,0.0 
 03/13  22:00:00,8643951.519120457,8643951.519120455,0.0 
 03/13  23:00:00,6297449.08321209,6297449.08321209,0.0 
 03/13  24:00:00,8569604.825749658,8569604.825749658,0.0 
 03/14  01:00:00,8569604.825749658,8569604.825749658,0.0 
 03/14  02:00:00,8569604.825749658,8569604.825749658,0.0 
 03/14  03:00:00,8569604.825749658,8569604.825749658,0.0 
